[2025-01-27T18:10:57.805Z] User: null | Action: login | Details: {"username":"wilson","status":"failed","reason":"Could not log in"}
[2025-01-27T18:11:48.833Z] User: null | Action: login | Details: {"username":"Wilson","status":"failed","reason":"Could not log in"}
[2025-01-27T18:15:12.213Z] User: null | Action: login | Details: {"username":"Wilson","status":"failed","reason":"Could not log in"}
[2025-01-27T19:09:17.905Z] User: null | Action: login | Details: {"username":"Wilson","status":"failed","reason":"Could not log in"}
[2025-01-27T19:14:29.426Z] User: null | Action: login | Details: {"username":"Wilson","status":"failed","reason":"Could not log in"}
[2025-01-27T19:15:29.568Z] User: null | Action: login | Details: {"username":"Wilson","status":"failed","reason":"Could not log in"}
[2025-01-27T19:16:25.020Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-27T19:16:41.922Z] User: Wilson | Action: logout | Details: {"username":"Wilson","role":"driver","status":"Missing refreshToken"}
[2025-01-27T19:16:41.929Z] User: Wilson | Action: logout | Details: {"username":"Wilson","role":"driver","status":"successful"}
[2025-01-27T19:16:55.387Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-27T19:31:36.678Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-27T19:31:37.949Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-27T19:31:42.496Z] User: Wilson | Action: logout | Details: {"username":"Wilson","role":"driver","status":"Missing refreshToken"}
[2025-01-27T19:31:42.500Z] User: Wilson | Action: logout | Details: {"username":"Wilson","role":"driver","status":"successful"}
[2025-01-27T19:34:02.473Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-27T19:34:02.522Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-27T19:34:16.522Z] User: Wilson | Action: refreshToken | Details: {"username":"Wilson","role":"driver","status":"failed","reason":"Empty request"}
[2025-01-27T19:34:16.529Z] User: Wilson | Action: refreshToken | Details: {"username":"Wilson","role":"driver","status":"failed","reason":"Wrong refreshToken"}
[2025-01-27T19:34:16.532Z] User: Wilson | Action: refreshToken | Details: {"username":"Wilson","role":"driver","status":"successful"}
[2025-01-27T19:34:26.347Z] User: Wilson | Action: logout | Details: {"username":"Wilson","status":"Missing refreshToken"}
[2025-01-27T19:34:26.352Z] User: Wilson | Action: logout | Details: {"username":"Wilson","status":"successful"}
[2025-01-27T19:34:41.841Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-27T19:48:44.083Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-27T19:58:38.030Z] User: Wilson | Action: logout | Details: {"username":"Wilson","role":"driver","status":"Missing refreshToken"}
[2025-01-27T19:58:38.035Z] User: Wilson | Action: logout | Details: {"username":"Wilson","role":"driver","status":"successful"}
[2025-01-28T21:27:58.208Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-28T21:31:00.084Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-28T21:37:12.484Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-28T21:46:50.236Z] User: Wilson | Action: refreshToken | Details: {"username":"Wilson","role":"driver","status":"failed","reason":"Empty request"}
[2025-01-28T21:46:50.246Z] User: Wilson | Action: refreshToken | Details: {"username":"Wilson","role":"driver","status":"failed","reason":"Wrong refreshToken"}
[2025-01-28T21:46:50.248Z] User: Wilson | Action: refreshToken | Details: {"username":"Wilson","role":"driver","status":"successful"}
[2025-01-28T21:47:17.681Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-28T21:51:38.360Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-28T21:52:51.735Z] User: Smith | Action: login | Details: {"username":"Smith","userRole":"driver","status":"successful"}
[2025-01-28T22:04:20.802Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-28T22:14:12.665Z] User: Wilson | Action: logout | Details: {"username":"Wilson","role":"driver","status":"Missing refreshToken"}
[2025-01-28T22:14:12.671Z] User: Wilson | Action: logout | Details: {"username":"Wilson","role":"driver","status":"successful"}
[2025-01-28T22:18:08.328Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-28T22:18:41.748Z] User: Smith | Action: login | Details: {"username":"Smith","userRole":"driver","status":"successful"}
[2025-01-28T22:28:02.761Z] User: Smith | Action: logout | Details: {"username":"Smith","role":"driver","status":"Missing refreshToken"}
[2025-01-28T22:28:02.765Z] User: Smith | Action: logout | Details: {"username":"Smith","role":"driver","status":"successful"}
[2025-01-28T22:32:45.513Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
[2025-01-28T22:33:12.052Z] User: Smith | Action: login | Details: {"username":"Smith","userRole":"driver","status":"successful"}
[2025-01-28T22:55:03.725Z] User: Wilson | Action: login | Details: {"username":"Wilson","userRole":"driver","status":"successful"}
